Question,Answer
"
Машины «домашние», т.е. Находятся в гаражных кооперативах возле мест проживания водителей. Обслуживают область (Шереметьево и Домодедово). Водители  жители Москвы, сложившийся коллектив. Им что всем искать новую работу всем предприятием? 
","
                                        Необходимо оформить пропуск для проезда к месту стоянки.
                                    "
"
Как должен выглядеть договор перевозки? Есть ли единая форма 
","
                                        Типовых форм и требований к текстовой составляющей для представляемых заявителями договоров Постановлением № 379-ПП не установлено.
Взаимоотношения сторон, возникающие при заключении договорных обязательств, регулируются ст. 420  453 Гражданского кодекса Российской Федерации.
Вместе с тем, в договоре, приложениях к нему и (или) в иных прилагаемых документах должны содержаться сведения о количестве перевозимых грузов на одну единицу грузового автотранспортного средства характера перевозимого груза, периодичности перевозок, адресов погрузки/разгрузки и невозможности погрузки/разгрузки грузов в ночное время.
                                    "
"
Договор к каждому маршруту нужен? 
","
                                        Маршрут, указываемый заявителем в интерактивной форме, должен соответствовать сведениям, представленным в договоре, а не наоборот.
                                    "
"
На текущий момент в случае наличия ошибки в ДК следует отказ в оформлении пропуска, в связи с введением новых правил отсутствует необходимость прикладывать скан-копию ДК, может ли повлиять на выдачу пропуска ошибка, допущенная оператором технического осмотра? 
","
                                        Представление заявителем противоречивых либо недостоверных сведений, необходимых для предоставления государственной услуги, в том числе противоречащих сведениям, полученным посредством межведомственного информационного взаимодействия является основанием для отказа в предоставлении государственной услуги.
                                    "
"
Как быть транспортной компании, осуществляющей сбор грузов по Москве? Каждый день разные адреса и разные объёмы. В договоре это не пропишешь. Работаем по заявкам от клиентов. 
","
                                        Отсутствие в представленных документах, подтверждающих необходимость осуществления грузовой перевозки, сведений о количестве перевозимых грузов на одну единицу грузового автотранспортного средства, характера перевозимого груза, периодичности перевозок, адресов погрузки/разгрузки является основанием для отказа в предоставлении государственной услуги.
                                    "
"
Когда будут и будут ли внесены изменения в 379-ПП касаемо возможности получения пропуска для ТС более 3,5 т? 
","
                                        Информация о порядке предоставления грузовому автотранспорту разрешенной максимальной массой более 3,5 тонн права на въезд и передвижение в зонах ограничения в городе Москве будет заблаговременно размещена на официальной странице Департамента транспорта Официального портала Мэра и Правительства Москвы (mos.ru/dt) и сайте Государственного казенного учреждения города Москвы  Центр организации дорожного движения Правительства Москвы (gucodd.ru).
                                    "
"
Почему обращение 30 дней? 
","
                                        В соответствии с Федеральный законом от 02.05.2006 № 59-ФЗ «О порядке рассмотрения обращений граждан Российской Федерации» письменное обращение, поступившее в государственный орган, орган местного самоуправления или должностному лицу в соответствии с их компетенцией, рассматривается в течение 30 дней со дня регистрации письменного обращения.
                                    "
"
Почему в отказе не пишут причины? Ответ на обращение через 30 дней, потом ждать 21 день рассмотрения пропуска. Что делать эти 2 месяца? 
","
                                        Административными регламентами установлены исчерпывающие перечни оснований, являющихся причинами как для отказа в приеме документов (сведений), необходимых для предоставления государственной услуги, так и отказа в предоставлении государственной услуги, исключительно точное воспроизведение которых используется работниками, ответственными за выполнение административных процедур предоставления государственных услуг, регламентированных Постановлением 379-ПП, при формировании проектов решений об отказе.
                                    "
"
Зачем нужен пропуск транспорту, зарегистрированному в г. Москва? 
","
                                        Ограничения распространяются на весь грузовой автотранспорт, независимо от места его регистрации, формы собственности и целевого назначения.
                                    "
"
Когда водитель новый приходит, его нужно как-то вписывать? 
","
                                        Административными регламентами это не предусмотрено.
                                    "
"
Когда пишут в отказе, что НЕполный комплект документов, можно указывать конкретно чего не хватает? 
","
                                        Для получения объективной и достоверной информации по вопросам отказа в приеме документов (сведений), необходимых для предоставления государственных услуг, отказа в предоставлении государственных услуг, а также аннулирования пропусков заявления и обращения принимаются в письменном виде.
Для направления таких обращений в распоряжении заявителей имеются соответствующие интерактивные формы на официальном сервере Правительства Москвы, Едином Транспортном Портале города Москвы, а также непосредственный прием корреспонденции в Сервисных центрах «Московский транспорт», расположенных по адресам: г. Москва, ул. Старая Басманная, д. 20, корп. 1, и ул. 1905 года, д. 25, понедельник-четверг: 08:00-17:00; пятница: 08:00-15:45.
                                    "
"
Являемся крупным международным перевозчиком. Маршруты длинные. Как можно оформить годовой пропуск, если не успевает машина зайти 4 раза в месяц? 
","
                                        Для осуществления грузовых перевозок автотранспортными средствами, на которые распространяется действие международных договоров, Постановлением № 379-ПП предусмотрено предоставление только государственной услуги «Внесение в Реестр действующих пропусков, предоставляющих право на въезд и передвижение грузового автотранспорта в зонах ограничения его движения в городе Москве, сведений об оформленных разовых пропусках».
                                    "
"
Выезд из Москвы с пересечением МКАД возможен без пропуска, если он закончился? 
","
                                        Передвижение в пределах МКАД грузового транспорта свыше 12 тонн (а с 5 мая  свыше 3,5 тонн) без пропуска запрещено.
Применение мер административного воздействия к нарушителям пропускного режима не зависит от направления движения транспортного средства (въезд или выезд из зоны ограничения), наличия или отсутствия прицепа (полуприцепа), а также от наличия и размещения груза или оборудования в его кузове (прицепе, полуприцепе).
                                    "
"
Планируется ли введение изменений в правила проезда специального/специализированного транспорта в пределах МКАД и ТТК, а именно оставление без пропускного режима только для коммунального ТС, а для специального/специализированного  получение пропусков в общем порядке? 
","
                                        Ограничения распространяются на весь грузовой автотранспорт, независимо от места его регистрации, формы собственности и целевого назначения.
Внесение в Реестр сведений об оформленных разовых пропусках и пропусках со сроком действия до 1 года является государственными услугами и реализуется в соответствии с административными регламентами, утвержденными Постановлением № 379-ПП.
Исключение составляют следующие транспортные средства:

оперативных служб, имеющие опознавательные знаки, цветографические схемы и надписи в соответствии с ГОСТ;
органов государственной власти и их подведомственных учреждений;
автотранспорт почтовый, имеющий цветографическую схему и надписи в соответствии с ГОСТ, автомобили инкассации, имеющие цветографическую схему и надписи в соответствии с ГОСТ;
автомобили-эвакуаторы;
дипломатических представительств и консульских учреждений иностранных государств.

Внесение в Реестр сведений о таких транспортных средствах осуществляется путем направления документов непосредственно в ЦОДД.
                                    "
"
В настоящий момент уже можно подавать заявки на пропуска на въезд? 
","
                                        Информация о порядке предоставления грузовому автотранспорту разрешенной максимальной массой более 3,5 тонн права на въезд и передвижение в зонах ограничения в городе Москве будет заблаговременно размещена на официальной странице Департамента транспорта Официального портала Мэра и Правительства Москвы (mos.ru/dt) и сайте Государственного казенного учреждения города Москвы  Центр организации дорожного движения Правительства Москвы (gucodd.ru).
                                    "
"
Договор на перевозку указывать с одним клиентом или со всеми? 
","
                                        Отклонение грузового автотранспортного средства, внесенного в Реестр действующих пропусков, от маршрутов движения, несоблюдения периодичности или объема перевозок, заявленных в запросе на предоставление государственных услуг, является основанием для аннулирования пропуска.
Соответственно при подаче запроса необходимо учитывать все возможные перевозки, которые планируется осуществлять грузовым транспортным средством.
                                    "
"
Ранее фактически в договоре необходимо было указать невозможность проведения работ ночью. Сейчас в новой редакции Постановления №191-ПП от 16.02.2021 так же остались требования по обоснованию невозможности проведения работ в ночное время, хотя пропуск для проезда нужен уже и ночью. В данное постановление будут ли тогда вноситься соответствующие изменения? 
","
                                        Необходимость обоснования тех или иных условий перевозки будет заблаговременно размещена на официальной странице  Департамента транспорта Официального портала Мэра и Правительства Москвы  (mos.ru/dt) и сайте Государственного казенного учреждения города Москвы – Центр  организации дорожного движения Правительства Москвы (gucodd.ru).
                                    "
"
Нужно ли вписывать транспортные средства в договор, подтверждающий необходимость грузовых перевозок? 
","
                                        Договор перевозки груза должен подтверждать осуществление перевозок грузовым автотранспортным средством, в отношении которого рассматривается вопрос о предоставлении государственной услуги.
                                    "
"
Информация, полученная департаментом транспорта посредством межведа недоступна заявителю, почему информация полученная ДТИР по межведу, является корректной, а скан-копии приложенных документов признаются не действительными? 
","
                                        В соответствии с административными регламентами в целях предоставления государственных услуг используются документы и сведения, получаемые в процессе межведомственного информационного взаимодействия.
Согласно разъяснениям Главного контрольного управления города Москвы, осуществляющего контроль за соблюдением требований административных регламентов предоставления государственных услуг, должностные лица и работники, участвующие в процессе предоставления государственных услуг, обязаны осуществлять межведомственную проверку представленных заявителями документов и информации и руководствоваться представляемыми сведениями.
                                    "
"
Какой остаточный срок действия ДК должен быть для оформления пропуска? 
","
                                        Предусмотрено следующее основание для отказа в предоставлении государственной услуги: до окончания срока действия документов, приложенных заявителем к запросу, осталось не более 20 дней с момента подачи запроса.
                                    "
"
Почему пропуск дают на 11 месяцев с момента подачи, а не с момента получения? 
","
                                        Окончание срока действия запрашиваемого пропуска при заполнении интерактивной формы запроса выбирается заявителем самостоятельно.
Данный срок ограничен 1 годом программой.
                                    "
"
Ваши сотрудники, видящие каждый день приходящие заявки с явной ошибкой, могут связаться с заявителем? 
","
                                        Нет. В соответствии с действующими административными регламентами не предусмотрено взаимодействие с заявителями, так как услуга оказывается в электронном виде.
                                    "
"
Конкретный адрес указывается при оформлении пропуска на сайте. Зачем прописывать все адреса в договоре? Разве недостаточно формулировки  г. Москва. 
","
                                        Отсутствие в представленных документах, подтверждающих необходимость осуществления грузовой перевозки, сведений о количестве перевозимых грузов на одну единицу грузового автотранспортного средства, характера перевозимого груза, периодичности перевозок, адресов погрузки/разгрузки является основанием для отказа в предоставлении государственной услуги.
                                    "
"
Если снимаю квартиру в Московской области, регистрации нет, можно приложить договор аренды жилья? Чтоб с Видного доехать до Электрогорска. 
","
                                        Пропуска, предоставляющие право въезда и передвижения грузового автотранспорта разрешенной максимальной массой более 12 тонн по Московской кольцевой автомобильной дороге, без въезда в ее пределы, оформляются уполномоченным органом исполнительной власти Московской области, в соответствии с соглашением между Правительством Москвы и Правительством Московской области (п. 13 постановления Правительства Москвы от 22.08.2011 № 379-ПП «Об ограничении движения грузового автотранспорта в городе Москве и признании утратившими силу отдельных правовых актов Правительства Москвы»).
Органом исполнительной власти Московской области, уполномоченным на осуществление данной деятельности, является Министерство транспорта и дорожной инфраструктуры Московской области (постановление Правительства Московской области от 08.12.2020 № 933/41).
Данная государственная услуга предоставляется только в электронном виде посредством регионального портала государственных и муниципальных услуг Московской области (РПГУ).
                                    "
"
Как Юр. Лицо, имея грузовой автомобиль в собственности, может обосновать необходимость заезда в Москву для передачи груза транспортную компанию? 
","
                                        Наличием договора.
                                    "
"
Если компания, с которой заключён договор, имеет несколько точек для разгрузки  нужны ли подтверждающие документы, что у этой компании действительно есть складские помещения? 
","
                                        Отсутствие адресов погрузки/разгрузки в документах, подтверждающих необходимость осуществления грузовой перевозки, или нахождение этих адресов вне зон действия ограничения движения грузовых автотранспортных средств в городе Москве, является основанием для отказа в предоставлении государственной услуги.
                                    "
"
В договоре перевозки, если указать на дневной график работы получателя груза  этого будет достаточно? 
","
                                        Отсутствие в документах, подтверждающих необходимость осуществления грузовых перевозок, обоснования невозможности погрузки/разгрузки грузов в ночное время является основанием для отказа в предоставлении государственной услуги.
Согласно буквальной формулировке рассматриваемого положения административного регламента под «невозможностью» понимается юридическая неспособность в силу ранее установленных нормативных правовых запретов и ограничений.
Таким образом, подтверждением невозможности погрузки/разгрузки грузов в ночное время может являться только документальное удостоверение предусмотренных регламентом сведений.
Для получения государственной услуги заявителям необходимо указывать сведения, позволяющие применительно к рассматриваемой перевозке (осуществляемой работе) установить конкретные запреты и ограничения, подтверждающие невозможность погрузки/разгрузки грузов в ночное время.
Позиция Департамента транспорта в данном вопросе поддержана органами, осуществляющими контроль за выполнением требований административных регламентов предоставления государственных услуг.
                                    "
"
График работы контрагента в дневное время является ли обоснование для невозможности осуществления перевозки в ночное время? 
","
                                        Отсутствие в документах, подтверждающих необходимость осуществления грузовых перевозок, обоснования невозможности погрузки/разгрузки грузов в ночное время является основанием для отказа в предоставлении государственной услуги.
Согласно буквальной формулировке рассматриваемого положения административного регламента под «невозможностью» понимается юридическая неспособность в силу ранее установленных нормативных правовых запретов и ограничений.
Таким образом, подтверждением невозможности погрузки/разгрузки грузов в ночное время может являться только документальное удостоверение предусмотренных регламентом сведений.
Для получения государственной услуги заявителям необходимо указывать сведения, позволяющие применительно к рассматриваемой перевозке (осуществляемой работе) установить конкретные запреты и ограничения, подтверждающие невозможность погрузки/разгрузки грузов в ночное время.
Позиция Департамента транспорта в данном вопросе поддержана органами, осуществляющими контроль за выполнением требований административных регламентов предоставления государственных услуг.
                                    "
"
Если при подаче данных на пропуск будет один адрес выгрузки, а машина окажется в другом районе Москвы (новый адрес). Какие последствия? 
","
                                        Отклонение грузового автотранспортного средства, внесенного в Реестр действующих пропусков, от маршрутов движения, несоблюдения периодичности или объема перевозок, заявленных в запросе на предоставление государственных услуг, является основанием для аннулирования пропуска.
                                    "
"
Где взять документ о скоропортящихся продуктов? 
","
                                        В представляемых заявителем документах должен быть указан срок и порядок хранения.
                                    "
"
Можно ли подавать заявки на получение пропуска на въезд ТС свыше 3,5 тонн уже сейчас? По тем формам, что предусмотрены для 12 тонн и больше? Или ждать внесение изменений? 
","
                                        В настоящее время подать на пропуск для грузового транспорта 3,5-12 тонн нельзя. Требования и порядок получения этих пропусков утверждается.
                                    "
"
Камеры фиксации правонарушения фиксируют направление из Москвы? Если а/м задержался на погрузке и пропуск закончился, можно выехать без получения штрафа? 
","
                                        Применение мер административного воздействия к нарушителям пропускного режима не зависит от направления движения транспортного средства (въезд или выезд из зоны ограничения), наличия или отсутствия прицепа (полуприцепа), а также от наличия и размещения груза или оборудования в его кузове (прицепе, полуприцепе).
                                    "
"
Как упростить процедуру взаимодействия с представителями департамента в случае возникновения нестандартных вопросов? 
","
                                        В соответствии с действующими административными регламентами не предусмотрено взаимодействие с заявителями, так как услуга оказывается в электронном виде.
                                    "
"
Какой код ВЭД указывать в заявке на пропуск, если компания занимается оказанием услуги, а не перевозит товары? 
","
                                        В поле «Сведения о перевозимых грузах» следует указывать перевозимые материальные ценности, соответствующие виду перевозок.
                                    "
"
Можно ли как-то отменить запрос на регистрацию если нашел ошибку? 
","
                                        Нет, отменить уже поданный запрос нельзя. Необходимо дождаться, когда придет ответ на вашу заявку, и подать ее повторно.
                                    "
"
Как верно заполнить маршруты для получения пропуска. Каждой машине необходимо прописывать все возможные места для выгрузки и возможные пересечения на МКАД (магазины расположены в этой зоне)? 
","
                                        Необходимо указывать все возможные места для выгрузки. В интерактивной форме не предусмотрено ограничений по количеству указываемых маршрутов и адресов. Маршруты и адреса должны соответствовать договорам, подтверждающим осуществление грузовых перевозок. Отклонение от маршрутов может послужить основанием для аннулирования пропуска.
                                    "
"
При международной перевозке грузов некоторое оборудование в силу особенностей конструкции и специфики крепления груза при перевозке требует использования еврофуры. При этом весовые и объемные характеристики данного груза могут не соответствовать условию не менее 80% вместимости грузового автотранспортного средства. Как в этом случае довезти груз до получателя, если это является основанием для отказа в выдаче пропуска? 
","
                                        Подтверждение 80% загрузки транспортного средства должно содержаться в договорах, подтверждающих необходимость осуществления обычной грузовой перевозки. Документом, подтверждающим необходимость осуществления международной грузовой перевозки, является международная товарно-транспортная накладная «CMR», в ней должно быть это указано.
                                    "
"
Модель транспортного средства  это все, что в свидетельстве написано после марки или в поле модель нужно заносить наименование полностью, например VOLVO FH 4X2? 
","
                                        Необходимо указывать сведения в соответствии с паспортом транспортного средства (ПТС). Если в ПТС не указана его марка, в поле «Марка» из выпадающего списка следует выбрать значение «Иное» и в доступном для самостоятельного заполнения поле указать «Отсутствует». Поле «Модель» позволяет вносить любую комбинацию букв, цифр и символов.
                                    "
"
Возим лёгкий груз (одежда и обувь), используем объём транспорта на полную, но грузоподъёмность на 3050%. Как заполнять грузоподъёмность? 
","
                                        Загрузка должна составлять не менее 80% от вместимости грузового автотранспортного средства. Это необязательно грузоподъемность. Загрузка может измеряться в килограммах, в кубометрах, в поддонах  в зависимости от типа груза.
                                    "
"
Все ли приложения к договору нужно прикладывать? Например, существенно ли для получения пропуска приложение к договору о ценах на перевозки? 
","
                                        Если в договоре прописаны приложения, то все их необходимо прикладывать. Отсутствие приложений, указанных в документах, может послужить основанием для отказа в получении пропуска.
                                    "
"
Как правильно оформить пропуск если нужно заехать на Спартаковскую площадь, которая находится внутри МКАД, но, чтобы туда заехать необходимо пересечь ТТК? 
","
                                        Для проезда на Спартаковскую площадь необходимо получить пропуск для заезда в зону ТТК, так как для проезда туда необходимо пересечь ТТК.
                                    "
"
Если в пропуске прописаны маршруты с несколькими адресами выгрузки, обязательно ли при въезде в Москву следовать полному маршруту? 
","
                                        Движение транспортного средства должно осуществляться в соответствии с информацией, указанной в договоре перевозки (маршруты, периодичность, объемы). Отклонение от маршрутов, несоблюдения периодичности или объема перевозок, заявленных в запросе, является основанием для аннулирования пропуска.
                                    "
"
Объём продаж в собственных магазинах ежедневно разный, может меняться график завоза в магазины, может сломаться машина, как в таком случае прописать маршруты на год заранее? 
","
                                        Для торговых сетей, соответствующих требованиям пункта 8 статьи 2 Федерального закона от 28 декабря 2009 г. № 381-ФЗ «Об основах государственного регулирования торговой деятельности в Российской Федерации», осуществляющих перевозки грузов собственными силами, начиная с 5 мая 2021 г. необходимо представлять учредительные документы и документы, устанавливающие право собственности либо иные законные права в отношении торговых объектов, находящихся на начальной и/или конечной точках маршрута движения, при этом договор перевозки представлять необязательно.
                                    "
"
Документальное подтверждение невозможности разгрузки в ночное время, как должно выглядеть для магазина в торговом центре? 
","
                                        Договор перевозки должен содержать сведения о виде деятельности грузоотправителя/грузополучателя или заказчика проведения работ по указанным в запросе адресам погрузки/разгрузки грузов или адресам проведения работ с обоснованием невозможности проведения погрузочно-разгрузочных работ или проведения иных работ в ночное время в силу запретов, а также невозможности соблюдения условий и правил погрузочно-разгрузочных работ или проведения иных работ в ночное время.
                                    "
